App,Category,Rating,Reviews_num
Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,4.1,159
Coloring book moana,ART_AND_DESIGN,3.9,967
"U Launcher Lite – FREE Live Cool Themes, Hide ...",ART_AND_DESIGN,4.7,87510
Sketch - Draw & Paint,ART_AND_DESIGN,4.5,215644
Pixel Draw - Number Art Coloring Book,ART_AND_DESIGN,4.3,967
Sya9a Maroc - FR,FAMILY,4.5,38
Fr. Mike Schmitz Audio Teachings,FAMILY,5.0,4
Parkinson Exercices FR,MEDICAL,4.444444444444445,3
The SCP Foundation DB fr nn5n,BOOKS_AND_REFERENCE,4.5,114
iHoroscope - 2018 Daily Horoscope & Astrology,LIFESTYLE,4.5,398307
